id,placeName,description,address,image,rating,location,longitude,latitude
1,The Egyptian Museum In Cairo,"The Egyptian Museum is the oldest archaeological museum in the Middle East, and houses the largest collection of Pharaonic antiquities in the world. The museum displays an extensive collection spanning from the Predynastic Period to the Greco-Roman Era.",Cairo,https://tinyurl.com/yffcchwp,4.5,https://goo.gl/maps/RBKxVzj3sa6zpFcL9,30.04846529,31.23365667
2,The Hanging Church,"Its unusual moniker comes from the fact that it's built on top of the gates of an old Roman fortress. Located within Old Coptic Cairo (Masr al-Qadima) in what was ancient Egypt's Heliopolite Nome, the Hanging Church is just a stone's throw from the famous Babylon Fortress",Cairo,https://tinyurl.com/2p82vznx,4.6,https://goo.gl/maps/xuWFMckZMCXia6uG7,30.00537779,31.2301826
3,Ben Ezra Synagogue,"According to local folklore, it is located on the site where baby Moses was found. This was the synagogue whose geniza or store room was found in the 19th century to contain a treasure of forgotten, stored-away Hebrew, Aramaic and Judeo-Arabic secular and sacred manuscripts.",Cairo,https://tinyurl.com/5yfscyep,4.4,https://goo.gl/maps/eaLT34SLYj2D6UXR6,30.00591405,31.23115281
4,Amr Ibn Al-Aas Mosque,"The original structure was the first mosque ever built in Egypt and the whole of Africa. For 600 years, the mosque was also an important center of Islamic learning until Al-Muizz's Al-Azhar Mosque in Islamic Cairo replaced it. Through the twentieth century, it was the fourth largest mosque in the Islamic world.",Cairo,https://tinyurl.com/ykkp8vtr,4.7,https://goo.gl/maps/qNYToszHRdkg1NEi9,30.01024228,31.23343751
5,St. Barbara Church,"While Saint Barbara's Church has been a long-lasting example of ancient Coptic architecture, it resembles the shape of ancient basilicas. It comprises an entrance, a narthex, a long nave, several aisles and three sanctuaries.",Cairo,https://tinyurl.com/ycx2wxxb,4.8,https://goo.gl/maps/FBgYnwAEBDxC2ju78,30.00622487,31.2316865
6,Coptic Museum,"The Coptic Museum houses the largest collection of Coptic artifacts in the world and was inaugurated in 1910. The museum was established through the efforts of Marcus Simaika Pasha, a prominent Coptic figure who was vested in the preservation of Coptic heritage.",Cairo,https://tinyurl.com/9eccufhj,4.5,https://goo.gl/maps/dwT648gvW1YM835dA,30.00603902,31.23033536
7,Dahshur Pyramids,"Once completed, the pyramid was considered to be a success, as it was a fully constructed, smooth sided, and a free standing pyramid rising to a height of 341 feet (104 meters), with an angle of 43 degrees.",Giza,https://tinyurl.com/43try5tm,0,https://goo.gl/maps/p4TnBxyC2LLgHTHT8,29.79626774,31.24040422
8,Giza Plateau,"The Giza Plateau of Egypt, located about 15 miles southwest of modern Cairo, is one of the most important and famous archaeological sites in the world. It is home to the Great Pyramid, the only one of the Seven Wonders of the Ancient World still standing.",Giza,https://tinyurl.com/jx3v5a79,4.6,https://goo.gl/maps/1xGcaMQrJF19nCy18,29.98076374,31.13486124
9,Saqqara,"Located south of Cairo, Saqqara was the vast necropolis of the Ancient Egyptian capital, Memphis, and is home to the nation's oldest pyramid: the Step Pyramid of Djoser. Aside from being home to Egypt's oldest pyramid, Saqqara is the largest archaeological site in the country.",Giza,https://tinyurl.com/4mebjcxb,0,https://goo.gl/maps/JHacvWjyZTquFug39,29.85116889,31.21711036
10,Citadel of saladin cairo,"The Citadel of Saladin, known colloquially in English as the Cairo Citadel, is strategically located on a promontory beneath the Mokattam Mountain that made it difficult to attack. It was considered the most impressive and ambitious military fortification at the time of its construction.",Cairo,https://tinyurl.com/yc55wcaw,4.6,https://goo.gl/maps/NRhQHgpG4g9LK2Sf6,30.02899386,31.26051866
11,The Royal Carriages Museum,"The Museum houses a unique collection, of which the most notable are various sizes and types of royal carriages, one of the most distinguished objects in the Museum is the grand Alay Carriage, which is characterized by its finest workmanship and elaborate decoration.",Cairo,https://tinyurl.com/2xxkvvdd,4.4,https://goo.gl/maps/v1ffQdMvoNfg66ob7,30.05602612,31.23136848
12,Abdeen Palace,"The Palace is also characterized by its exquisite Italian, Turkish, and French designs and decorations as well as a collection of rare paintings and pieces of furniture decorated with gold. One of the richest museums, the sons and grandsons of Khedive Ismail took care of and preserved it.",Cairo,https://tinyurl.com/332mbvap,4.6,https://goo.gl/maps/v86EGLZapGQ1VfBg8,30.04325195,31.24728674
13,Museum of Islamic Art,"The Museum of Islamic Art contains one of the largest and most extensive collections of Islamic artifacts in the world. The idea of collecting and display the grand collection of artifacts began in 1880 AD. Eventually the building was established and inaugurated in 1903 AD, during the region of Khedive Abbas Helmy ll.",Cairo,https://tinyurl.com/3c4c9xtc,4.6,https://goo.gl/maps/RDJ2u29PdL7ZGFdW7,30.04488687,31.25266219
14,National Museum of Egyptian Civilization(NMEC),"The NMEC is the first of its kind in Egypt and the Arab world. It presents the full range of the richness and diversity of Egyptian civilization throughout the ages, from prehistoric times to the present day by focusing on its continuity and stability as demonstrated by its tangible and intangible heritage.",Cairo,https://tinyurl.com/5heue2un,4.7,https://goo.gl/maps/Nxuw2QaMQwRpbiPi6,30.0085122,31.24822991
15,Baron Empain Palace,"Baron Empain's palace, with its Indian style and tower, stands out in the desert landscape, distinct from the rest of the city. The palace reflects the high status of its owner and marks a major milestone in the urban landscape of Heliopolis.",Cairo,https://tinyurl.com/33j4sk7k,4.5,https://goo.gl/maps/AyRNcpePra6E6SFh9,30.08692887,31.33030714
16,Cairo Tower,"Cairo Tower, is a free-standing concrete tower in Cairo, Egypt. At 187 m (614 ft), it has been the tallest structure in Egypt and North Africa for about 50 years. It was the tallest structure in Africa for ten years until 1971, when it was surpassed by Hillbrow Tower in South Africa.",Cairo,https://tinyurl.com/358r9uju,4.3,https://goo.gl/maps/Kxjy4FR1jpfSm6nJ9,30.04608217,31.22427371
17,Khan el-Khalili,"Khan el-Khalili is a famous bazaar and souq (or souk) in the historic center of Cairo, Egypt. Established as a center of trade in the Mamluk era and named for one of its several historic caravanserais, the bazaar district has since become one of Cairo's main attractions for tourists and Egyptians alike. It is also home to many Egyptian artisans and workshops involved in the production of traditional crafts and souvenirs. The name Khan el-Khalili historically referred to a single building in the area; today it refers to the entire shopping distric",Cairo,https://tinyurl.com/b7ktvj28,4.4,https://goo.gl/maps/PpHtJWqL7oDeVZnv6,30.04780361,31.26224844
18,Bayt Al-Suhaymi,"Bayt Al-Suhaymi (""House of Suhaymi"") is a Traditional Egyptian Islamic themed house and museum in Cairo, Egypt. It was originally built in 1648 by Abdel Wahab el Tablawy along the Darb al-Asfar, a very prestigious and expensive part of Islamic Cairo.",Cairo,https://tinyurl.com/mryyz9xt,4.6,https://goo.gl/maps/95qi9sEGRRmZB41t9,30.05227774,31.26238828
