,Unnamed: 0,Places,ID,Location,unknown,religious,pharaonic,modern,ancient,natural,romanian,humanly,fun,Islamic,Coptic,place_id
0,0,The Egyptian Museum In Cairo,0,Cairo,0,0,1,0,1,0,0,1,0,0,0,6249c7df30170c0174c4419a
1,1,The Hanging Church,1,Cairo,0,1,0,0,1,0,0,1,0,0,1,6249c7df30170c0174c4419b
2,2,Ben Ezra Synagogue,2,Cairo,0,1,0,1,0,0,0,1,0,0,1,6249c7df30170c0174c4419c
3,3,Amr Ibn Al-Aas Mosque,3,Cairo,0,1,0,0,1,0,0,1,0,1,0,6249c7df30170c0174c4419d
4,4,Wadi El Natrun monasteries,4,Behira,0,1,0,0,1,0,0,1,0,0,1,random
5,5,St. Barbara Church,5,Cairo,0,1,0,0,1,0,0,1,0,0,1,6249c7df30170c0174c441a4
6,6,Coptic Museum,6,Cairo,0,1,0,0,1,0,0,1,0,0,1,6249c7df30170c0174c4419f
7,7,National Museum Of Alexandria,7,Alexanderia,0,0,0,1,1,0,1,1,0,0,0,6249c7df30170c0174c441a2
8,8,Bibliotheca Alexandria,8,Alexanderia,0,0,0,1,0,0,0,1,1,0,0,6249c7df30170c0174c441a0
9,9,Luxor Temple,9,Luxor,0,0,1,0,1,0,0,1,0,0,0,6249c7df30170c0174c441a6
10,10,Karnak Temple,10,Luxor,0,0,1,0,1,0,0,1,0,0,0,6249c7df30170c0174c441a7
11,11,Valley Of The Kings,11,Luxor,0,0,1,0,1,0,0,1,0,0,0,6249c7df30170c0174c441a3
12,12,Valley Of The Queens,12,Luxor,0,0,1,0,1,0,0,1,0,0,0,6249c7df30170c0174c441a5
13,13,Deir El Medineh,13,Luxor,0,0,1,0,1,0,0,1,0,0,0,6249c7df30170c0174c441aa
14,14,Tal Basta,14,Sharqia,0,0,1,0,1,0,0,1,0,0,0,6249c7df30170c0174c4419e
15,15,Dahshur Pyramids,15,Giza,0,0,1,0,1,0,0,1,0,0,0,6249ee6530170c017416d0fd
