ID,Image,Description,Geolat,Geolng,Name,Address
1,,"The Egyptian Museum is the oldest archaeological museum in the Middle East, and houses the largest collection of Pharaonic antiquities in the world. The museum displays an extensive collection spanning from the Predynastic Period to the Greco-Roman Era.",,,The Egyptian Museum In Cairo,Cairo
2,,"Its unusual moniker comes from the fact that it's built on top of the gates of an old Roman fortress. Located within Old Coptic Cairo (Masr al-Qadima) in what was ancient Egypt's Heliopolite Nome, the Hanging Church is just a stone's throw from the famous Babylon Fortress",,,The Hanging Church,Cairo
3,,"According to local folklore, it is located on the site where baby Moses was found. This was the synagogue whose geniza or store room was found in the 19th century to contain a treasure of forgotten, stored-away Hebrew, Aramaic and Judeo-Arabic secular and sacred manuscripts.",,,Ben Ezra Synagogue,Cairo
4,,"The original structure was the first mosque ever built in Egypt and the whole of Africa. For 600 years, the mosque was also an important center of Islamic learning until Al-Muizz's Al-Azhar Mosque in Islamic Cairo replaced it. Through the twentieth century, it was the fourth largest mosque in the Islamic world.",,,Amr Ibn Al-Aas Mosque,Cairo
5,,"While Saint Barbara's Church has been a long-lasting example of ancient Coptic architecture, it resembles the shape of ancient basilicas. It comprises an entrance, a narthex, a long nave, several aisles and three sanctuaries.",,,St. Barbara Church,Cairo
6,,"The Coptic Museum houses the largest collection of Coptic artifacts in the world and was inaugurated in 1910. The museum was established through the efforts of Marcus Simaika Pasha, a prominent Coptic figure who was vested in the preservation of Coptic heritage.",,,Coptic Museum,Cairo
7,,"Once completed, the pyramid was considered to be a success, as it was a fully constructed, smooth sided, and a free standing pyramid rising to a height of 341 feet (104 meters), with an angle of 43 degrees.",,,Dahshur Pyramids,Giza
8,,"The Giza Plateau of Egypt, located about 15 miles southwest of modern Cairo, is one of the most important and famous archaeological sites in the world. It is home to the Great Pyramid, the only one of the Seven Wonders of the Ancient World still standing.",,,Giza Plateau,Giza
9,,"Located south of Cairo, Saqqara was the vast necropolis of the Ancient Egyptian capital, Memphis, and is home to the nation's oldest pyramid: the Step Pyramid of Djoser. Aside from being home to Egypt's oldest pyramid, Saqqara is the largest archaeological site in the country.",,,Saqqara,Giza
10,,"The Citadel of Saladin, known colloquially in English as the Cairo Citadel, is strategically located on a promontory beneath the Mokattam Mountain that made it difficult to attack. It was considered the most impressive and ambitious military fortification at the time of its construction.",,,Citadel of saladin cairo,Cairo
